"","text","user_suggestion","klasifikasi"
"11"," may agree       cannot deny hour counter  topupdate   best balance  feature state   gameworst community  history  mobavolvo    care  thisupdate       sense anymore   unique  well crafted    shadow     storm lols unwanted bastardson",0,"Negatif"
"12","    awful barely feels     hope  come      correct    interface praying       death bed",0,"Negatif"
"13","yesterday    four       guess     feel      feel  cybersport thank icefrog  destroyed    dear  menow      lolicefrog trying  increase diversity   turned        easier      famous   complexity  deleted   perhaps gabe come   senses  return us   good old   ",0,"Negatif"
"14","            quit       messed    feel miserable  almost   kill   actually invested   money          feel  dissapointed rip   anyone buying account ",0,"Negatif"
"15","    suck   shove   deep     itnew journey   call     hud sucks  sucks copied    modified talents suck good  bring     hots facking freebies free gold  xp free bounty runes yay   free demon edge  lvl   yeah    testing done      change    write test cases      deploys  thousand changes   service      release team       release  develop    copy paste  wonder u   hl  surprise  coz u suck   development  u  stop sucking  money making business model infact    deep  sucking  money   throat   ruined  perfect  year old gamekeep yourto   heartbreaking   move broke    moving  hon  yes icefrog      shove   youryou  ",0,"Negatif"
"16"," may agree       cannot deny hour counter  topupdate   best balance  feature state   gameworst community  history  mobavolvo    care  thisupdate       sense anymore   unique  well crafted    shadow     storm lols unwanted bastardson",0,"Negatif"
"17","    rid   social lifeyou   throw  money   wall  stupid effectsyou     russiansyou   reading thisthen download     become awho      sniper",1,"Positif"
"18","    fps developed  bungie     nintendo      presents    point  click adventure similarly   best    year    york times gone home    young lesbian trying  find love however   presents multiple obstacles  keep   achieveing  goal  obstacles  mostly stuns  supressions   playable champ     access  accept  surpressor   access   global ult  puts   opponents  low prio   another story     access  cool cosmetic     direct access   facebook allowing everyone    vibrant  colorful  language   losing  mmorpg      amazing language software  pare  rosetta stone  allows   learn multiple languages including   limited   mexican spanish burrito burrito taco ecceterra  would highly suggest       friends despite     priced   msrb   worth  penny       good video   come      years   stay    years  come     spent  summer vacation  ferris bueller",1,"Positif"
"19","bad  overall unbalanced  unfixed bugs bad servers     stay sane     matchmaking  work   cares  money  best   moba genre  turned   worst     years    offer  fun anymore  suffering",0,"Negatif"
"20","  ruined   community   toxic    thought  could come      casual   nope   community  worse      call eachother horrible names   sad     done  next  years  gunna   meme",0,"Negatif"
"21"," skill  needed unlike  rest   fp moba    find   net   go wrong     force   pay     community  total cancer though   could       online   existencejust watch  wallet  shinies    eat   faster   hungry hamster   pile  sunflower seeds",1,"Positif"
"22","   probably  best moba        fun               personal friends        loli enjoy  customization   free    added ability  trade  easily   sell     nice      things     nicer      great moba     good",1,"Positif"
"23","blame simulator rage simulator angry simulator blood boiling simulatorif    bad day    blame someone         good day    ruin     ",0,"Negatif"
"24","basically counterstrike    wizards  russians  less teamworkalso similar   would     champs againupdate would        added wukong   moved baron   correct side    good job riot",1,"Positif"
"25"," started       managed  finally quit       life        moba    days   wake    fall asleep  repeat nightmarein summary   bring  good friends   party   enjoy        well spentif   going    solo queue    start hating  mankind   soul  slowly decay",0,"Negatif"
"26"," love    would love     day long everyday   problem  toxic annoying      normal     matter win  lose         overall  love    recommend   awesome",1,"Positif"
"27","   total garbage   worst community   seen   multiplayer     lower  iq   indulge    extended periods      ruin  mental state caution  causes depression  explicit angermmr  broken   server        good    youll acquire  knowledge    language aswell     mental capabilities    exist",0,"Negatif"
"28"," hate       consumes        nothing          hate russians south americans     person   planet  ",0,"Negatif"
"29","   blast     latest    terrible ui  terrible  stupid pre match character screen   joke  something   street fighter   literally went   fun          anymore ruined ",0,"Negatif"
"30","defense   ancients      short    addicted   extremely harmful substance  matter   times  queue  europe west   russians  matter   times    instapick pudge going mid  feed  matter   times    bounty hunter build battlefury youll keep coming     taste  glory   extremely abusive relationship   impossible  leave",1,"Positif"
"31","     advanced  limitless     learns      pro       wants compatition party    friends learn   rage  good  solo  tournaments league  learn  languages  son  side effects may includeblurred vision memory loss extreme paranoia  displacement  rage",1,"Positif"
"32","   write  good review   everchanging landscape         following generic thingsdota    simple team     huge amount  advanced techniques       told  lookup online  come     fun  tools  character   different tool  move different  turn different  attack differently   enjoy         perfecting little small tricks     slight advatange        come   fighting   example         thiswhat   different   mobas depth  offers   variety   freedom  experiment  mobas shy away   huge complexity   giving  tools   tools        movement options   away movement options   opponent  random modifiers  spawn    periodically      find  options baked   character    guide   learning   character     gives   sandbox  experiment   reminder   anyones fault   fail  build  tool properly      funmost         copy  playstyle   facilitates       everything depends       yes  remember   fun           hour per match enjoy smile     forget     enjoying  uninstall",1,"Positif"
"33","   moba   else could    itim pretty sure youve read  bunch  reviews upon   coming   review  straight   point     probably worth    interested  facing individuals across  internet   probability   skilled  tactics  strategy  strategies  tactics  accomplished via  vast cast  characters within      set  abilities roles  characters   confined   specificed roles  given  wide variety     produce  devastating  riduculous combination   cripple  enemy teamif       let   discerned    interact   teammates  vital   aim  win  match   opposing team  example    mean would  communication within        paired  individuals      equal footing  however     persons  comprise  team    compromise        achieve   goal  win  addition aside   communicate  another  could gain ideas      certain character plot ingenius tactics  enjoy  sensation  teamwork resulting  communicationleaving    final note remember   loss within  show   gain via reflection     done wrong  hasnt  done     comrades  together offer strategies  suggestions  future matches   let  loss   match    head  remain composed   headed",1,"Positif"
"34","please              good      brooke  door      minutes ago           everything",0,"Negatif"
"35","alright kids listen  cause heres  life lesson    dangerous youll start  fine    life  perpetuate   spiral  doom     called     horrid things  typed   human    language      picking  purple horned bastard    rage inumerable times   sent  valves version  hell low priority  everything  worse  russians worse   profanity     fault   reason  youll quit   quit    buy   cosmetic  cry laugh  almost     valves version   shakspeareian    pits  hell  gabe dragged  personaly  us  shown  free        means    steal  soul  laugh         best part  youll love  minuet   life hat  burn   gameget   befor  gets ",1,"Positif"
"36","    great bots perform extremely realistic almost eliminating  point   vs real humans bots  ignore    ping  hero   humansbots  steal  farm   humansbots  v  enemy   humansbots  ignore enemies taking roshan   humansbots   ward   humans supposedly    fixed",1,"Positif"
"37","thank   reading thisthis    lost  faith  humanitythis    think whats    peoples eyesits  happening     two gamesblame  support blame  carry blame  teammate   losing blame  enemy   teammates   friends pause  unpause automatically boast   winning    feeding  entire  ez      anyones fault   thisbut  pleasecan  fix  communitygive  something harsh punishmentthis kind  things    cyberbullying  someone depressedi        rightbut     effects   peopletheyre unleashing negative energy       unleash        community became   toxic communityi mean seriously  years ago  community    bad  friendly  factmaybe   everyones learning  trying  learn together  fun teaching   another   dotas friendly communitybut   community almost  everyone sick  itvalve please    proper  harsh punishment   wont repeat  wrongdoing   againi  saw   wrong things   proper responses  valvei       money   moneybut please    least   attention   gamesi    count         gameat least    good memory    playersheres   simple   example    heard thank  truly   heartthank   supporting usthank   carrying usthank   hanging  therethank   handling  mid nicelythank   buying us wards  courierthank   teaching     wrongor something  thatits ok everyones fail   timenot everyones perfectyoure   good jobhave   done thathave   heard thatnowell    community  youdid  imagine               done thatat least  enjoyable   rightwell reality  cruelif    start      recommend    peoplei   recommend       friends  bad enough  itll   lost  friends     good   youll  theyre fake friends  notmost    bad    manner   humanityyou     bots though theyre  encouraging  friendlier  newbie playersplease   sakestay away   gameespecially   community",0,"Negatif"
"38","    good     fun   problem      u    dependable    u     matchmaking apparantly          carry   fail    results   waste    usually starts already  hero selection   communicate         usually lacks  teamplay     busytoo bad      good  community    flamers egotrippers wannabe carry   rude",0,"Negatif"
"39"," start      team mates abandon    enemies abandon    says     win  challenge accepted buy  rapiers   rampages win would v ",1,"Positif"
"40","  good      veterans  may   best       horrifying  hellit sucks   yelled    lowlife goodfornothing scumbag    lifedownload     risk",0,"Negatif"
"41"," type   moba  type placed  warcraft universe  means      power  agility  intelligence  melee  range herolike   tower defense     support towers   ancient base  barracks meleerange  generates  ai fighters  shooter  support  battle   lanesabout        rpg type  hero   pick   begining      progress    feed         able  grow  character   gain xp  learn  basic abilities       character   pick   pick   basic abilities    set  active  passive  aura   passive  influence  others team  enemy     caster  aura   character progress       able  open  add  ultra skill      active  passive ultimate spell  skill  progress    tree skill choice set    reach     levelyour character   item slots    put active  passive   use        usable  teleports wards tango mango    passive  maelstrom     reusable  mjollnir     runes system  main runes   haste double damage regeneration arcana illusion   system  goldxp runes   rules  different types      different   set  rune recovery rateplay style   vs  mostly  coop   different hero types   pushers  nukers  supports  healers    types  different  type  playtryevolve  dlcs    evolving cause  pro stage   big money    internationals    features           hero   introducethere    feature   called turbo mode   faster goldxp rateaccount     features   account     feature     earn  xp    levels        modify   account       turbo       minutes max   faster type        reach      minutes  depends   evolving   gamein tradicional type    depends    fast     minutes  middle    minutes  till late      minutes moba runes easy  learn hard  master hard   beware   nb  item system xp system  account idea first moba   vs   vs      modes addictive  internationals battle pass evolving skins courier skins wards skins   turbo mode   dynamic   faster decisions   turbo mode    fast  moba   addictive easy  learn    non cooperative  hard  master    good cooperative multiplayer  hard   beware   nb  battle passgraphics  detail soundmusic video camera special effects story characters mechanics idea addiction must  rpg elements addonsdlcs verdict ",1,"Positif"
"42","sadlythis   come   later accross smurfs etc   hit   sledgehammer  love  gamei hate      hate everything  yet  kept coming    yes monkey king   little broken     arebut  change      care       sunk      good  lookingthe   good    blows mostly   low ground  ui  terrible  small  hero name   portrait  cheap  looks unfinished  shop  terrible checking enemy   terrible  skill tree  terrible pick  cores  win   default  lvl  midas  pick xp bonus gg ez   skills   skill tree  terrible lets   free lifesteal triple silence triple sniper shotcoolbut          cm  blink drums hex  aghs  min   problem     changes etc  based around  aboveskill tree   means everything  terrible please rename  either storm     league    newerth    rush simulator  arcade style vs thingis justnasty heaps  clowns  usual congrats   cleaned  bottom   barrel  stats tab  gone    levelable  terrible wanna    int  od  vs enemy  calculate damage goodluck         inside outbut  making  noob friendly  worry  damage ms  armour tab    lets add  backpack    less confusing  worse  everid rather   drop   ground thanks  pre planning  nifty    kept  captains mode     fun   reason   random idiots     courier   bad idea     starts    longer feels  dotahaving  hon hots  league  feels  none      bastard child spawned    incest    happen  performance issues  terrible  servers  somehow worse    feel let   downloaded gb  thisbri   old image  external       keep  memory     guys ruined   intent   force     mess   regards  year long fans  us  mod    search     version   choosing  someone   mod pleasewhile   friends   found    great   complained    appears    noticeable   solo maybe   friends     great given  right circumstancei accept   disagree      reviews    perceptions   said things     mine gg wp  ez uninstall ff mid",0,"Negatif"
"43","  old league  legends    needed       knew  champion  item   possible outcome  hero duels  came            would strongly suggest taking          realistic    guarantee        little bit  mechanics           friend  two       fun  bugs whatsoever  fluid       diverse range     bad   might      seen     quite  big number  trolls   ",1,"Positif"
"44","dear developersi  loved     guys ruined       invested money      nice     enjoy       would   possible  revert    old       hero   monkey king came  hon           shop   would  nice  revert    old    old    representation  dotas uniqueness   design   opinion  trying  emulate   hon please bring  dotas uniqueness",0,"Negatif"
"45"," review         first moba    andi started   love   amazinggame  matter   saltyness itcontains          matter   suck  ",1,"Positif"
"46","fun  trash      unplayable worst group alive      saying  khours  waste     v      v   afk famer   farming simulator  teamplay  everyman     moba unplayble    solo",0,"Negatif"
"47","  plot isnt  clear           obviously     problem  rapid assimilation  cultures   conservativism leads  massive xenophobia causing  war    think   texasmexico border   rio grandethough   reason  russians  peruvians insteadoverall     great free singleplayer title  experiments         slack   foreign language courses  high school  testing  racist   capable  ",1,"Positif"
"48","     friends asked        belt   safely     absolutely  idea     doingthis    beginnerfriendly     first moba    start  something lighter     completely overwhelm  theres  little balance   treat   trash     community  built      already   insandouts    struggle  find  right guides   show     wrongif    friends    better   youll   holding       friends    worse   youll grow tired          fine wine     fun  somebody experienced tastes  pee   newbie",0,"Negatif"
"49","     potential genuinely good qualities    severe issuesdota  requires teamwork  win    filled  incompetent  abusive    matters worse matchmaking results   balanced  team often  better     right   startneither   issues would  severe     punishment system  forces   remain   minute matches   unbalanced  abusive despite    two modes ranked  unranked   latter  described  casual   virtually  samei  advocated   unranked  indeed meant    casual mode      punishment system  inactivity  abandoning   apply hereafter remaining   miserable  minute match  avoid  abandon  subsequent low priority  may   reported  abusive      isnt uncommon     blame     mistakes   report  example seen  solo tower diving  jungling alone   enemies territory   soon   die  blame everyone else      likely  receive  fraduluent report    team   party         outsider   case  abuser wont   blame  friends    easier  blame  stranger  point   paragraph   highlight  remaining   bad match   save    punishment system   highlights    nothing casual  unranked   resultthe  casual    modded   unfortunately    servers     peru  run likethis   free    isnt  risk  trying         genre   force   endure unfair  abusive  minute matches  id recommend    first",0,"Negatif"
"50"," videogame  spiders    kill towers  good  serbia  famous    family  dayi skill   sniper mid short  win fasti used    teams  liquid alliance  navi    family  work      towers  russians     kill towersand russianswith spiders  treesvery goodthere  roshanroshan    roshan  loud omgthere   bonus levels special  wrathnight    pokemons attacking lich kinganother bonus  diretide   candy  gaybullets  turks   candy turks bosniaserbia evr nuke us  dayserbia strong wisdom   falcon fast  tiger strong  liongrafix amazing  battolfild   showcase mode    linas   nicesound  nice dubstep arabic kebab soundtrack   country music  goodgameplay  good gameplay  sports   u  riki  match  fedstory  touching story  russians  russians  lasts   min      againoverall ",1,"Positif"
"51"," edit   changes   onward    come    issues previously stated however theres   major issues      apparently  addressed properly alt  smurf  troll  etc accounts    add  phone system     change   amount  clear alt  troll accounts   contrary  turbo mode  introduced  seems  old ranked mode    filled       permanently banned scripters issue    widely screamed       issue    idea  well   hunting     common           sometimes stumble   abusing scripts          watch  analyze  replay overall toxic behavior    disappear  long  alt accounts  possible        arent  abusive  chat  intentionally destroy    entire team didnt  mid well ill  sit  base    xp   mins  jungle   sit  base watching youtube   ill  buy  wards  place    fountain   reason x   talent introduction  feel    gone   downward spiral  terms  balance      clear meta          insane winrates   mmr rangesi     iv  thought    best moba    terms  gameplay   insanely high skill cap     remains    came     mean   gui isto  point     feel right anymorehowever  issue isnt   gui  major issue     imo suddenly   became  super open world      boundries  used   theres     ways  invade opposing side    making  world feel    open arena instead  radiant  dire sidei      first impressions      leaving    feeling    wanna   anymore  alledit th  feb   ui fixes    started      however    updates things  gone   ways   worseafter  changes   match making system  report system     significant raise  unjustified low priority     low priority  anything  example muted     summary showing  didnt   word    won  lost       winstreak  muted  receive    low priorityproblem   opponents  able  report     certain    farm reports  theres  tomorrow  kinda     starting  feel  finally done     good  wont put   money  ",0,"Negatif"
"52","learning     learning  entire history   world  civilization  war  political situation  nitpicky historical detail except  keeps changing  history  patchit took     actually  huh  think   completely understand      properly     achieved     nerd watching guides theorycrafting   eating  sitting   toilet  traveling  trying  sleep  becomes  obsession  challenge  learn  entire    unlearn  relearn everything   major    mind straining    academic education   trying    phd   thought     worth  effort   investmentso  keep    thinks   isnt worth   investment  first    damn human curiosity experimenting  detail  enjoying  results    phase  main reasons remained   free     another    mainly    latter reason    friends would find        bored find singleplayer  finish  aand    nothing           hated  vicious circle  tried  quit atleast  times deleted   several times      poor download speed tried quitting  removing  monitor   house changed  pw    account  windows  something  long  gave  away  somebody   couldnt open  computer deleted steam entirely several times  tried    things  quit  couldnt stuck   loop  kept trying  improve  gameplay  watching high     explain     dayi came across chilongquas youtube channelthe first video  saw   nonstop feeding  enemy team  complaining   issues     asim k yet    matched  k tains            forcefully tell   mic   dolast   teammate gave   fed   puny argument     gets ruined  gonna ruin someone elses gamemy first thought  huh  annoying tryhard rager kid  flames everyone  voice chat    lost       watched    understood  psychology   reasoning behind  actions    long story      eventually decided  feed     understand  mentality    boy    turning point  analyzed everyones reactions   went  mid  gave  life   gift   enemy team first  realized   inefficient  enemy team   killing   ran around   tower    struggled  kill   alone   realize  enemy team   worse        teammates reacted   situation  expected    sentences  produced   able  understand   simply stupid  results  amazing   enlightenedafter  feeding session    next  normallywhile  thinking   mind     best       stomped    stomped  next      weird     stuck    mmr  years   change   mindset gained   mmr  less   days realizing    almost    carry  team     win     inferior      team   enemy team   able  slowly stop    realized     whole   pile  mess    fixed    fix     hatred   grew day  day   day  deleted            years       hatred kindling kindled  clq grew  big    able  finally quit clq  saved melater       friends  several months   big patches came   wasnt  addicted anymore   able  enjoy     friends againthis    vacuum   suck  life  soul     ending      keep trying  manipulate   come      updating      balanced   ruin  balance  keep   interesting  fresh   business      skins sold  crates opened   iest jobs  today   least pays      buy food    things   keep  life going     live      arent      fun anymore     shout   shouted    day  stressful work     psychiatric hospital   fix      worsei certainly  regret    playtime         glad           currently spent     wasnt  clq   enlightenment  provided   would  sunk  k       sadly      forcing    positive   rage  defies   past defies   opinions   youtube   income    position   sadwith      master  craft study anything  become    best   subject    sink k          average     go pro   nothing  return stop lying    arent  fun     became  stressful work  long  ago think  itif   agree  anything  said  go ruin   purposefully feed  analyze    reactions   wont hurt  think      againif   already  high skilled  non pro    teenage years buried    think     couldve spent  fraction     became    top  earning   esports money          actually       thinking        head   unable  comprehend     fun      require wasting  years    year life  learnahmet faruk albayrak",0,"Negatif"
"53","   loved      original   copied     gone beneath  pride  identity  copy  submit      ruined   lost  identity    lame  lame lame lame lame lame lame lamewell done   ruined ",0,"Negatif"
"54"," think  good   favorite  dtidehunter   p cool   spit water  summon tentacle army  enemy  afraid  jump   air   kill    teammatees  steal kills   nothing   donkey wings  buy vision sticks  joffy  scream  noob  otherwise p nice   nice  meatballs",1,"Positif"
"55","    addicting  fun        youll find urself   everyday    happened     k hrs     half  year  legit hrs  day     pc  hrs  day d    workout andand   good body overall  pretty fun     friends    great   trust   lay ranked untill  good    otherwise    put  k mmr bracket   stuck   philipinoys    bad       enemy free kills   pretty  gg   ",0,"Negatif"
"56","best language learning software  learn  read  speak  portuguese  spanish      additional costsmind  side effects may cause severe irritations sudden friend loss sunlight deficiency broken keyboards followed  internalexternal bleedings andor   extreme cases substantial brain damage",1,"Positif"
"57","      year due  workafter  years        finally released   next newest hero monkey king  coming   december  yeardota   become  spectator sport   footsteps  traditional sports   basketball  football   sense     teamoriented   require strategy  win    recent gameplay patches          changes  focuses    strategic aspects    namely scans  cheaper  defensive itemsnew    echo sabre  hurricane pike  serve   competitive   exciting  teams   fallen behind   early     chance  comeback   cheaper midtier   costefficient  giving   opportunity  fight backeverything  workas  whole    become     focused  positioning   right draft composition      match  hand  particular strategy  dominated  tournament scene  year   push defensive splitpush  teamfight     remarkable balance  allows  teams  varied style tendencies  showcase     without feeling disadvantaged   egs methodical lane dominance  calm style mvp phoenixs allin teamfight style ehomes strategic drafting style  ti winners  wings anything goes stylevalve   shown interest   expanding     released custom  feature     virtual reality support  spectating overall    good year        fun     strategy  workable    viable  competitive tournaments   expanded options  spectating viewing   analysing replays  statistics  aficionados would loveover  course   year    slowly introduced  source   client  allows  easier integration  custom  similar   original system  warcraft  battlenet  international  tournament    huge success    record  million    million  contributed  community spending    revealed  future plans      form  quarterly majors tournaments   meant   develop  competitive scene  community interestit   clear      taking  seasonal  events approach towards stimulating community support  obvious targets  december holidays chinese  year  halloween  regards  porting    legacy      left arc warden  pitlord    likely   introduced   aforementioned  eventsat  point  longevity       secured   foreseeable future due  valves steam client storefront massive  base  successful implementation  cosmetic item sales    affect gameplayicefrog    right   choosing  work      future     hope   continue  work   legacy  enjoy  feelings  joy happiness rage sadness  comradery    brought  millions   worldwidedota   keeps improving     rate    progressing   likely      around  years later  community keeps expanding   content updates  constant  full  exciting  features seasonal events bring   quests  coop gameplay   good use   core   abilities  cosmetic  economy  healthy   booming     workshop artists contributing   competitive  oriented towards esports   professional scene  certainly expanded exponentially   internationals prizepool   years   seen   indicator   grown exponentially   million     million     projected  hit  million      recently implemented ranked matchmaking  allows   opportunity      elostyle rating    exploits  flaws   debut  subsequent updates    vastly improved  experience    welcome  feature   enables  interested    competitive experience     best abilities knowing   teammates  opponents  likely put    amount  effortvalve inc  proven    continue  support     aspects  maintain  healthy esports scene   caters   spectrums     casual competitive  spectatormatchmaking system    design flaws     lacks    convey  competitive   skill   standingsratingsdota  requires huge  investment  provides magnificent  immeasurable rewards  commitment",1,"Positif"
"58","    ambition  lifedo    gameif    may  stopthis   consume   money energy  lifeturn around runyou   warned",0,"Negatif"
"59"," fun till  realize   reported   reason      countering  report  explainning   issue     reported         till    number  matches  takes     minutes      problem cause anyone  report    three following     fault     avoid   ridiculous    tell        either   matches without  rewards  forced          major problem   hell thought    good idea",0,"Negatif"
"60","     enjoyable moba     updates  good  day tournaments   shows  worth  watch  good       use character    graphics  tactics  strategies   smart peoples p  detailed  great community fun    party  friends  good hero balance       diverse hero sounds  easy  learn difficult  master increase  servers letting    good ping  hard  beginners   face opponents      k  takes   learn  hero  ability  find  preferred hero among themstill  figure    jump p",1,"Positif"
"61","great    hate  fun  antifun levels      highest   seen     fun   happy stay well away            bum smacked   girl   told  enjoy   voice acting  pretty good  welledit  special request  going  tell    find little nuggets  fun      improve  gameplay experience   decide    gameignore  grumpy teammates  use  abilities      tostay away  tryhard meganerd modes  captains   fun gamemodes  diretideif    weird letters       looks    mute everybody   teams  stay   lookout  opportunities   funnever queue  matchmaking without  good friendthings    fun         funbuy wards     spare moneypick dumb   lots  buttons  chenlisten  grumpy teammatesi hope   helped     fun   valves   please mark  review  helpful    helped",0,"Negatif"
"62","     joke    random teammates   friend teammates  suck  wellthe community  cancerous  could   match  total perfection   lose  ludicrous would totally  another    ",1,"Positif"
"63","best fp  available entertaining   wont  feel   going     warn   addictive  hellawesome     good friends  real headache     yourselfits   huge learning curve   constantly evolvinghas  humongous  base  would definitely   cancer         gang nothing   fun  thisnot suggested     selfcontrol pfun awesome   drug  disguise",1,"Positif"
"64"," would suggest       types  gamers     perfect     disgusting fan basecommunity   highly addictive nature   ruin  life     enjoy pushing aside  responsibilities  loved ones  order  achieve   hour meth binge       given  due   lack  pictures  gaben ingame",1,"Positif"
"65","well   broke    girlfriend   pain start   gameyou  face  drunks  russians     cancerso  cancer    pains  shortly",1,"Positif"
"66"," grandfather smoked  whole life     years old   mother said          grandchildren graduate    stop immediately tears welled    eyes   realized  exactly   stake  gave   immediately three years later  died  lung cancer    sad  destroyed   mother said     smoke please  put  family    grandfather put us   agreed      touched  cigarette  must   feel   slight sense  regret    done     gave  cancer anyway",1,"Positif"
"67","   nothing  offer anybody    quality fun  cannot   quickly  efficiently elsewhere    addiction  reduces  productivity attention span  freetime   becoming  bitter narrowminded haughty  old quit   delete     nothing   slow lonely suicidepeople    fun     communicate succesfully   another  nitpick mistakes  witty remarks  mock   nobody  interested   truth   battling  fleeting moments  superiority   loud jackasses  tumble   argument  another anxiously waiting    respond  ensure  keep   word    fair  balanced match    ten thousand   matter  hard  filter  matchmaking options    searching  diamonds   garbage dumpthis    making  happy     fun    gathering fun experiences  tell learning  growing   person instead  rage  thirty minutes   occasionally spurred  rage quitting    teammates  believe  won  cold war   addicted  readily available fun  pressure free social interaction    slowly poisoning   misogyny antisemitism narcissism  false dichotomy surrounding progamers  insecurityim  telling    good   telling   go outside    telling    friends  quit   anything else",0,"Negatif"
"68","heed  words  although    late    may    late       heroin    stop  badly      community  awful   matchmaking     cry    cannot stop     ",0,"Negatif"
"69","  spend        definatly hook   yes    addicted        somany interesting aspects    discover soon   start    best          room  improvement   content  introduced  couple  months  assures   wont   bored     easily",1,"Positif"
"70","                                                                                                     ",1,"Positif"
"71","   arei  started                drastically changedwe could  seen  updates   changes going   history     community  worse      came   started    overpowered   complete  quests  compendiums  otherbut     amazing      possibilites       defending  towers    enemy      destroy  towers leading  destroying  ancient    win    go  another match     friends   mind  spend  cold nights  ya     grab   start  fun                   master      k    far  mastering    heh    frequent updates  keep   fresh loads  mods official ones  community onesgame  maintained   definetly    best   free   find aroundi  found     quite distracting    complex   beginning     tutorial  isnt enough    going      friend    already  ask    help  trust      matchmaking  needs  work    unbalanced sometimes aswell   heroesthis    keeping going        place      nerves  strong enough    cooperate   team    isnt  possible   teammates suck often     better experience    keep raging    tuff         wish  good luck   fun bring  friends  start  party overall ",1,"Positif"
"72","first  review   write  steam    dissapointed  grew       memories tied     believe       delete  forever       joke    good times    met   wonder   going   guys minds   decided    step forward",0,"Negatif"
"73","lovely    amazing   technically outstanding showing   valves usual polish  attention  detail especially   allimportant multiplayer aspects  continual balance tweaks    combined   vast amount  content    offer countless   enjoyment  hard  master  good wins   teammates  incredibly satisfying  took   long   warm     helplessly addicted   day  forward   home  fire     friends    spare     ",1,"Positif"
"74","  love     amazing    easily lure  toward  addiction   u start u   find    stop     stop   come trust     hate  fact     banning  option  stop  newbies     otherwise  recommend   everyone   plz   noobs  ruin  ",1,"Positif"
"75","skipped classes thanks  dotalearned  gamble thanks  dotalearned  swear   different languages thanks  dotabecame racist thanks  dotaall   ruin  life simulator  would recommend    trying  kill yourselfcancer   cured sea  community  ",1,"Positif"
